,128
-16.0,2.217111587524414
-15.692307692307692,2.042475461959839
-15.384615384615385,1.9055365324020386
-15.076923076923077,1.800473928451538
-14.76923076923077,1.7166649103164673
-14.461538461538462,1.6476410627365112
-14.153846153846153,1.5886784791946411
-13.846153846153847,1.535622000694275
-13.538461538461538,1.4861783981323242
-13.23076923076923,1.4366636276245117
-12.923076923076923,1.3886654376983643
-12.615384615384615,1.340367317199707
-12.307692307692307,1.2909488677978516
-12.0,1.2376840114593506
-11.692307692307692,1.1881465911865234
-11.384615384615383,1.1388193368911743
-11.076923076923077,1.090002417564392
-10.76923076923077,1.0445870161056519
-10.461538461538462,1.0141527652740479
-10.153846153846153,0.9881502389907837
-9.846153846153847,0.9690256714820862
-9.538461538461538,0.9763888120651245
-9.23076923076923,1.0024279356002808
-8.923076923076923,1.0399142503738403
-8.615384615384615,1.0667883157730103
-8.307692307692307,1.0910478830337524
-8.0,1.1455914974212646
-7.692307692307692,1.1782609224319458
-7.384615384615383,1.291846513748169
-7.076923076923077,1.3853060007095337
-6.769230769230768,1.58193039894104
-6.461538461538462,1.8725664615631104
-6.153846153846153,2.1713249683380127
-5.846153846153845,2.3025848865509033
-5.538461538461538,2.3025848865509033
-5.23076923076923,2.3025848865509033
-4.923076923076923,2.3025848865509033
-4.615384615384615,2.3025848865509033
-4.307692307692307,2.3025848865509033
-4.0,2.3025848865509033
